PAPER_ID,GPTZERO,TITLE,DISCIPLINE,PAPER_TYPE,STUDENT_LEVEL,SEX,NATIVENESS,TEXTUAL_FEATURES
BIO.G0.14.1,H,Mapping of Unknown Mutations in Drosophila Melanogaster,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Abstract,  Methodology section,  Discussion of results section,  Tables, graphs or figures"
BIO.G0.17.1,H,Effects of Protein Deficiency on Organ Size in Mus Musculus,Biology,Research Paper,Final Year Undergraduate,Male,NS,"Abstract,  Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.21.1,H,Prevalence of Haemosporidians in Birds of Northern Michigan,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Abstract,  Tables, graphs or figures,  Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
BIO.G0.22.1,H,Trunk Forking in Acer Saccharum: a Phototropic Response to Forest Canopy Gaps,Biology,Research Paper,Final Year Undergraduate,Male,NS,"Abstract,  Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.23.1,H,Drosophila Melanogaster lab report,Biology,Research Paper,Final Year Undergraduate,Male,NS,"Abstract,  Methodology section,  Discussion of results section,  Tables, graphs or figures"
BIO.G0.27.1,H,Small Mammal Response to Post-fire Forest Succession in Northern Lower Michigan,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Abstract,  Tables, graphs or figures,  Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
BIO.G0.28.1,H,Niche Partitioning in Bats,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Abstract,  Tables, graphs or figures,  Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
BIO.G1.02.1,H,Biological Significance of Modular Structures in Protein Networks,Biology,Research Paper,First Year Graduate,Male,NNS (L1: Chinese),"Tables, graphs or figures,  Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
BIO.G1.05.1,H,Inferring Swimming Mode from Skeletal Proportions in Fossil Pinnipedimorphs,Biology,Research Paper,First Year Graduate,Male,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G2.01.1,H,Relationships and Biogeography of Antillean Cichlids,Biology,Research Paper,Second Year Graduate,Male,NS,"Abstract,  Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
BIO.G2.03.1,H,"Cholera Seasonality, Rainfall, and Fadeouts: a Geostatistical Approach",Biology,Research Paper,Second Year Graduate,Male,NNS (L1: Spanish),"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G2.04.1,H,Polyphyly of the Old World Vultures and Phylogenetic Placement of Gypohierax Angolensis (Aves: Accipitridae) Inferred from Mitochondrial DNA,Biology,Research Paper,Second Year Graduate,Female,NS,"Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
BIO.G3.01.1,H,Do Programming-Oriented Environments Provide Favorable Growing Conditions for Hypotheses?,Biology,Research Paper,Third Year Graduate,Male,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.31.1,AI/AH, Neurobiology Disease Explanation to a Parent,Biology,Response Paper,Final Year Undergraduate,Male,NS,Reference to sources
BIO.G1.08.2,H,Drosophila neuroblasts,Biology,Response Paper,First Year Graduate,Female,NNS (L1: Chinese), 
CEE.G3.04.3,H,Dish-Washing as a Multi-Actor Prisoner's Dilemma,Civil & Environmental Engineering,Argumentative Essay,Third Year Graduate,Male,NS,"Tables, graphs or figures"
CEE.G1.08.1,H,Electrification of road transportation using ground level power supply,Civil & Environmental Engineering,Critique/Evaluation,First Year Graduate,Male,NNS (L1: Malayalam),"Abstract,  Tables, graphs or figures,  Problem-solution pattern,  Methodology section,  Definitions,  Discussion of results section"
CEE.G0.01.1,H,Mix Proportioning and Fresh Concrete Properties,Civil & Environmental Engineering,Report,Final Year Undergraduate,Male,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures"
CEE.G0.02.1,H,Assessment of Candidate Michigan Aggregate,Civil & Environmental Engineering,Report,Final Year Undergraduate,Male,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures"
CEE.G0.05.2,H,Design development for the Wight-Green Building,Civil & Environmental Engineering,Report,Final Year Undergraduate,Female,NS, 
CEE.G0.05.3,H,Schematic design of the Wight-Green Building,Civil & Environmental Engineering,Report,Final Year Undergraduate,Female,NS, 
CEE.G1.01.1,H,Oral Bioavailability Evaluation of Soil-Borne Chemicals Using In Vitro Bioavailability Tests,Civil & Environmental Engineering,Report,First Year Graduate,Male,NS,"Abstract,  Tables, graphs or figures,  Literature review section,  Reference to sources"
CEE.G1.02.2,H,Self-Centering Seismic Resistant Systems,Civil & Environmental Engineering,Report,First Year Graduate,Male,NNS (L1: Spanish),"Tables, graphs or figures,  Reference to sources"
CEE.G1.02.3,H,Seismic Retrofit for Reinforced Concrete Structures: Analysis / Design Techniques,Civil & Environmental Engineering,Report,First Year Graduate,Male,NNS (L1: Spanish),"Abstract,  Discussion of results section,  Reference to sources"
CEE.G1.03.1,H,Dundee Wastewater Treatment Plant: a Brief Examination,Civil & Environmental Engineering,Report,First Year Graduate,Female,NS,"Discussion of results section,  Tables, graphs or figures,  Reference to sources"
CEE.G1.04.1,H,Use of Reinforced Concrete Shear Walls in Steel Framed Buildings,Civil & Environmental Engineering,Report,First Year Graduate,Male,NS,"Methodology section,  Tables, graphs or figures,  Reference to sources"
CEE.G1.05.1,H,Analysis and Design of Composite Steel-Concrete Columns,Civil & Environmental Engineering,Report,First Year Graduate,Male,NS,"Definitions,  Abstract,  Tables, graphs or figures,  Reference to sources"
CEE.G1.06.1,H,Worker Ergonomic Analysis,Civil & Environmental Engineering,Report,First Year Graduate,Male,NS,"Tables, graphs or figures"
CEE.G1.07.1,H,Reinforced Concrete Design Term Project,Civil & Environmental Engineering,Report,First Year Graduate,Male,NS,"Abstract,  Literature review section,  Tables, graphs or figures,  Problem-solution pattern,  Reference to sources"
CEE.G1.07.2,H,The State of Finite Element Modeling of Fiber Reinforced Cement Composites,Civil & Environmental Engineering,Report,First Year Graduate,Male,NS,"Abstract,  Reference to sources"
CEE.G1.09.1,H,Durability of Reinforced Concrete ,Civil & Environmental Engineering,Report,First Year Graduate,Male,NS, 
CEE.G1.10.1,H,Seismic Design For Tunnels and Underground Infrastructure,Civil & Environmental Engineering,Report,First Year Graduate,Male,NS,"Abstract,  Tables, graphs or figures,  Reference to sources"
CEE.G1.10.2,H,Soil Improvement: Designing with Tensar Geogrids,Civil & Environmental Engineering,Report,First Year Graduate,Male,NS,"Abstract,  Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
CEE.G2.01.1,H,Sustainability of the Internal Combustion Engine,Civil & Environmental Engineering,Report,Second Year Graduate,Male,NS,"Abstract,  Tables, graphs or figures,  Reference to sources"
CEE.G3.04.1,H,Managing CAFOs: Regulatory and Grassroots Control,Civil & Environmental Engineering,Report,Third Year Graduate,Male,NS,Reference to sources
CEE.G3.04.2,H,International Law and Environmental Policy,Civil & Environmental Engineering,Report,Third Year Graduate,Male,NS,"Definitions,  Literature review section,  Reference to sources"
CEE.G0.01.2,H,Self-Compacting Concrete and Fresh Concrete Properties,Civil & Environmental Engineering,Research Paper,Final Year Undergraduate,Male,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
CEE.G0.01.3,H,Gradation Analysis and Permeability Tests ,Civil & Environmental Engineering,Research Paper,Final Year Undergraduate,Male,NS,"Methodology section,  Tables, graphs or figures,  Discussion of results section"
CEE.G0.03.1,H,Glacier Way Dam Site Soils Evaluation,Civil & Environmental Engineering,Research Paper,Final Year Undergraduate,Male,NS,"Discussion of results section,  Methodology section,  Problem-solution pattern"
CEE.G0.04.1,H,Gradation Analyses and Permeability Tests for Glacier Way dam project,Civil & Environmental Engineering,Research Paper,Final Year Undergraduate,Male,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures"
CEE.G0.05.1,H,Relative density testing for foundation soil of punch presses,Civil & Environmental Engineering,Research Paper,Final Year Undergraduate,Female,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures"
CEE.G0.06.1,H,Characteristics of Concrete Aggregates,Civil & Environmental Engineering,Research Paper,Final Year Undergraduate,Female,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures"
CEE.G1.02.1,H,Necking and Localization in Plane Stress / Strain,Civil & Environmental Engineering,Research Paper,First Year Graduate,Male,NNS (L1: Spanish),"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
CEE.G3.01.1,H,A Study on an Interaction of Copper-Binding Compounds Between Methanotrophs,Civil & Environmental Engineering,Research Paper,Third Year Graduate,Male,NNS (L1: Korean),"Methodology section,  Discussion of results section,  Reference to sources"
CEE.G3.02.1,H,Project: Computation of Deformation,Civil & Environmental Engineering,Research Paper,Third Year Graduate,Male,NNS (L1: Mandarin),"Tables, graphs or figures"
CEE.G3.03.1,H,Contaminant Transport in Constructed Wetlands for Urban Stormwater Management,Civil & Environmental Engineering,Research Paper,Third Year Graduate,Female,NS,"Definitions,  Abstract,  Tables, graphs or figures,  Reference to sources"
ECO.G0.03.1,H,Economics of the Illicit-Drug Market,Economics,Argumentative Essay,Final Year Undergraduate,Male,NS,Reference to sources
ECO.G0.04.2,H,Killing Labor with Kindness: The Road to Hell is Paved with Good Intentions,Economics,Critique/Evaluation,Final Year Undergraduate,Male,NNS (L1: Russian),Reference to sources
ECO.G2.07.3,H,Decentralization and water pollution,Economics,Critique/Evaluation,Second Year Graduate,Female,NS, 
ECO.G2.06.1,H,Optimal wage contracting with tax avoidance,Economics,Proposal,Second Year Graduate,Male,NNS (L1: Russian), 
ECO.G2.07.1,H,Shotgun marriages in the US,Economics,Proposal,Second Year Graduate,Female,NS, 
ECO.G0.01.1,H,Article Review: My Anti-Stump Speech,Economics,Report,Final Year Undergraduate,Male,NNS (L1: Mandarin),"Tables, graphs or figures"
ECO.G0.02.1,H,Analysis of the Microsoft Case,Economics,Report,Final Year Undergraduate,Female,NS, 
ECO.G0.02.2,H,The Lysine Cartel and Collusion Theory,Economics,Report,Final Year Undergraduate,Female,NS,"Abstract,  Reference to sources"
ECO.G0.04.1,H,FTC Approves Rocket Joint Venture,Economics,Report,Final Year Undergraduate,Male,NNS (L1: Russian),Reference to sources
ECO.G0.07.1,HPAI/LP,U.S. Health Insurance,Economics,Report,Final Year Undergraduate,Female,NS,Reference to sources
ECO.G1.02.2,H,Malaysia and 1997 Asian Financial Crisis,Economics,Report,First Year Graduate,Female,NS,Reference to sources
ECO.G2.02.1,H,Evasion Technologies and Optimal Audits,Economics,Report,Second Year Graduate,Male,NS,"Definitions,  Tables, graphs or figures,  Methodology section,  Literature review section,  Reference to sources"
ECO.G2.03.1,H,Debt and Labor Supply,Economics,Report,Second Year Graduate,Male,NS,Reference to sources
ECO.G0.06.1,SAI,Family Size and Educational Attainment in Costa Rica,Economics,Research Paper,Final Year Undergraduate,Female,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
ECO.G0.08.1,H,Transportation Costs and the Non-Agricultural Sector in 19th Century Brazil,Economics,Research Paper,Final Year Undergraduate,Male,NS,"Literature review section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
ECO.G1.01.1,H,Pooled Signals: The Effect of Competitive Admissions Processes on College Choice,Economics,Research Paper,First Year Graduate,Male,NS,"Abstract,  Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
ECO.G1.02.1,H,Correlation between Straits Times Industrial Index (STI) with Other Key Financial Stock Indexes ,Economics,Research Paper,First Year Graduate,Female,NS,"Abstract,  Methodology section,  Tables, graphs or figures,  Discussion of results section,  Reference to sources"
ECO.G1.03.1,H,What Drives the Relationship between Education and Fertility?,Economics,Research Paper,First Year Graduate,Female,NNS (L1: Chinese),"Abstract,  Tables, graphs or figures,  Discussion of results section,  Methodology section,  Problem-solution pattern,  Literature review section,  Reference to sources"
ECO.G2.01.1,H,Capital Flows and the Role of Institutions,Economics,Research Paper,Second Year Graduate,Female,"NNS (L1: German, Mandarin)","Literature review section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
ECO.G2.04.1,H,Asymmetric Stock Price Response to Firms' Earnings Announcements,Economics,Research Paper,Second Year Graduate,Male,NNS (L1: Korean),"Abstract,  Tables, graphs or figures,  Methodology section,  Definitions,  Discussion of results section,  Literature review section,  Reference to sources"
ECO.G2.05.1,H,"Outsourcing Clerical Jobs, an Exploratory Analysis",Economics,Research Paper,Second Year Graduate,Female,NS,"Problem-solution pattern,  Tables, graphs or figures,  Reference to sources"
ECO.G2.08.1,H,Referee Report for a Job Market Paper in International Finance,Economics,Research Paper,Second Year Graduate,Male,NNS (L1: Turkish), 
ECO.G3.01.1,H,A Model of the Discrepancy between Corporate Income Tax Report and Output Announcements,Economics,Research Paper,Third Year Graduate,Female,NNS (L1: Korean),"Abstract,  Tables, graphs or figures,  Discussion of results section,  Methodology section,  Problem-solution pattern,  Reference to sources"
ECO.G3.02.1,H,On the Covariance Structure of Changes in Consumption in the Health and Retirement Study,Economics,Research Paper,Third Year Graduate,Male,NS,"Abstract,  Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
ECO.G2.07.2,H,Myth and Reality of Flat Tax Reform in Russia,Economics,Response Paper,Second Year Graduate,Female,NS, 
EDU.G0.08.1,H,Jim Colbert Final Paper,Education,Argumentative Essay,Final Year Undergraduate,Female,NS, 
EDU.G2.02.1,HPAI/LP,Student Informed Reform,Education,Argumentative Essay,Second Year Graduate,Female,NS,Reference to sources
EDU.G2.03.1,H,Diversifying Communities of Practice in Higher Education,Education,Argumentative Essay,Second Year Graduate,Female,NS,Reference to sources
EDU.G3.03.3,SAI,American Education: A Force for Democracy and Integration?,Education,Argumentative Essay,Third Year Graduate,Female,NS,Reference to sources
EDU.G0.19.1,H,Strategies for Learning Grammar and Vocabulary,Education,Critique/Evaluation,Final Year Undergraduate,Female,NS,Reference to sources
EDU.G1.07.1,H,"Proficiency, Differentiation, and Universal Education",Education,Critique/Evaluation,First Year Graduate,Male,NS,Reference to sources
EDU.G1.09.1,H,A Critique of the Spellings Report,Education,Critique/Evaluation,First Year Graduate,Female,NS,"Problem-solution pattern,  Reference to sources"
EDU.G2.04.1,H,Beyond Cognitive Skills to Enactment in Sociocultural Contexts,Education,Critique/Evaluation,Second Year Graduate,Female,NS,Reference to sources
EDU.G0.06.3,H,"Lesson plan: Pepper, Spoons, and Static Electricity",Education,Proposal,Final Year Undergraduate,Female,NS,"Problem-solution pattern,  Tables, graphs or figures"
EDU.G1.01.1,H,"Perspective on Textual Production, Student Collaboration, and Social Networking Sites",Education,Proposal,First Year Graduate,Male,NS,"Methodology section,  Problem-solution pattern,  Literature review section,  Reference to sources"
EDU.G1.11.1,H,Rethinking Academic Writing About Sexualized Violence,Education,Proposal,First Year Graduate,Female,NS,"Discussion of results section,  Methodology section,  Problem-solution pattern,  Literature review section,  Reference to sources"
EDU.G3.01.1,H,Schools and the development of national identity in young children: A justification for comparison,Education,Proposal,Third Year Graduate,Female,NS,"Definitions,  Tables, graphs or figures,  Reference to sources"
EDU.G0.01.1,H,Learning In Economics,Education,Report,Final Year Undergraduate,Male,NS, 
EDU.G0.03.1,HPAI/LP,School Study: Abbott Middle School,Education,Report,Final Year Undergraduate,Female,NS,Reference to sources
EDU.G0.05.1,H,5th Grade Science Lesson,Education,Report,Final Year Undergraduate,Female,NS, 
EDU.G0.06.1,H,Analysis of student discussions (5th grade),Education,Report,Final Year Undergraduate,Female,NS, 
EDU.G0.07.1,H,Personal Reflection of a Learning Difficulty,Education,Report,Final Year Undergraduate,Female,NS, 
EDU.G0.09.1,H,Classroom study: Abbott Middle School,Education,Report,Final Year Undergraduate,Female,NS,Reference to sources
EDU.G0.10.1,H,Analysis of 7 UP video,Education,Report,Final Year Undergraduate,Female,NS, 
EDU.G0.11.1,HPAI/LP,Student development report: Willow Run High School,Education,Report,Final Year Undergraduate,Female,NS, 
EDU.G0.12.1,H,Abbott Middle School Analysis,Education,Report,Final Year Undergraduate,Male,NS, 
EDU.G0.13.1,H,Teaching in the Field Reflection,Education,Report,Final Year Undergraduate,Female,NS,"Tables, graphs or figures"
EDU.G0.15.1,H,Classroom study: Latin,Education,Report,Final Year Undergraduate,Female,NNS (L1: Russian),Reference to sources
EDU.G0.17.1,H,Reflection on teaching experience from perspective of Educational Psychology,Education,Report,Final Year Undergraduate,Female,NS,Definitions
EDU.G1.04.1,H,Engaging Commuters in the Teaching and Learning Environment,Education,Report,First Year Graduate,Female,NS,"Literature review section,  Reference to sources"
EDU.G1.06.1,H,Lesson Adaptation Paper for Special Needs Student,Education,Report,First Year Graduate,Female,NS, 
EDU.G1.08.1,H,Higher education benefits,Education,Report,First Year Graduate,Female,NS,Reference to sources
EDU.G1.10.1,H,"Separatism, Americanization, and Catholic Schools",Education,Report,First Year Graduate,Male,NS,Reference to sources
EDU.G1.12.1,HPAI/LP,Professional Development for Child Care Providers,Education,Report,First Year Graduate,Female,NS,"Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
EDU.G2.01.1,H,The Economics of Philippine Education,Education,Report,Second Year Graduate,Male,"NNS (L1: Chinese, Tagalog)","Tables, graphs or figures,  Reference to sources"
EDU.G2.01.2,H,"Language, Literacy, and Policy",Education,Report,Second Year Graduate,Male,"NNS (L1: Chinese, Tagalog)","Problem-solution pattern,  Tables, graphs or figures,  Reference to sources"
EDU.G3.03.1,HPAI/LP,The History of American Education: Two Viewpoints,Education,Report,Third Year Graduate,Female,NS,Reference to sources
EDU.G3.03.2,H,The Intentions of the Progressive Reformers: Good or Bad?,Education,Report,Third Year Graduate,Female,NS,Reference to sources
EDU.G3.03.4,H,The Unintended Consequences of Reform,Education,Report,Third Year Graduate,Female,NS, 
EDU.G3.03.5,AI/AH,Immigration and Americanization: Then and Now,Education,Report,Third Year Graduate,Female,NS, 
EDU.G3.03.6,H,Curriculum Changes in the Progressive Era and Great Depression,Education,Report,Third Year Graduate,Female,NS,Reference to sources
EDU.G3.03.7,H,A Turbulent Decade in the Lives of Three American Families,Education,Report,Third Year Graduate,Female,NS,Reference to sources
EDU.G3.04.1,H,Growing Trend of Part-time Faculty at Community Colleges,Education,Report,Third Year Graduate,Female,NS,"Definitions,  Tables, graphs or figures,  Literature review section,  Reference to sources"
